Farm_ID,Farmer_Type,Crop_Type,Season,Region,Soil_Type,Rainfall_mm,Temperature_C,Area_Hectare,Yield_ton_per_hectare,Total_Production_ton,Seed_Cost_INR,Fertilizer_Cost_INR,Pesticide_Cost_INR,Labor_Cost_INR,Irrigation_Cost_INR,Total_Cost_INR,Market_Price_per_ton_INR,Total_Revenue_INR,Net_Profit_INR
11,Large,Potato,Rabi,North,Clay,597.74,19.87,6.14,19.309385459286727,118.56,35157.27,31064.71,13177.63,60131.16,39512.45,179043.22000000003,12000,1422720.0,1243676.78
12,Large,Wheat,Kharif,West,Loamy,2451.25,27.49,7.76,4.115257726854151,31.93,43878.88,37434.58,23371.07,85299.92,28361.04,218345.49000000002,21000,670530.0,452184.51
13,Small,Sugarcane,Zaid,Central,Loamy,332.42,25.59,5.37,71.09293314825588,381.77,17968.44,38680.37,16441.84,76511.5,14039.58,163641.72999999998,3500,1336195.0,1172553.27
14,Large,Maize,Kharif,South,Clay,1015.9,30.71,11.57,5.708574998442449,66.05,27541.9,46857.17,26025.5,142516.5,63008.67,305949.74,18000,1188900.0,882950.26
15,Medium,Rice,Rabi,East,Sandy,376.86,39.38,2.06,4.718326480729729,9.72,11660.2,15751.0,6568.05,14655.84,12487.87,61122.96,22000,213840.0,152717.04
16,Small,Wheat,Rabi,North,Clay,2143.71,39.62,5.97,3.5171184257718924,21.0,15697.74,50956.48,13568.96,56945.86,30117.81,167286.84999999998,21000,441000.0,273713.15
17,Medium,Rice,Zaid,Central,Loamy,1583.78,26.26,5.28,4.590219519314115,24.24,22091.56,24592.57,19579.67,42588.27,31701.93,140554.0,22000,533280.0,392726.0
18,Medium,Maize,Kharif,West,Clay,405.49,14.57,8.47,5.480944474107789,46.42,30744.56,61191.27,16508.83,62918.14,55149.91,226512.71,18000,835560.0,609047.29
19,Medium,Wheat,Rabi,Central,Silt,1653.8,21.37,11.58,4.360255682598289,50.49,67527.84,76704.48,32513.14,134125.4,54005.71,364876.57,21000,1060290.0,695413.43
20,Medium,Sugarcane,Kharif,East,Loamy,570.81,23.58,3.82,70.84990253544268,270.65,13995.57,18325.2,4990.33,23404.39,19157.88,79873.37,3500,947275.0,867401.63
21,Small,Cotton,Rabi,South,Sandy,1390.61,26.97,11.49,2.194010942085722,25.21,39999.47,50765.07,28729.67,60435.43,66745.09,246674.73,55000,1386550.0,1139875.27
22,Small,Sugarcane,Zaid,West,Silt,1772.71,38.89,10.02,69.22600082744025,693.64,43559.08,86804.83,21398.07,91539.9,57091.19,300393.07,3500,2427740.0,2127346.93
23,Medium,Sugarcane,Kharif,South,Clay,626.72,19.35,9.82,70.24081490353701,689.76,40370.04,70533.8,17391.63,62590.19,48234.36,239120.02000000002,3500,2414160.0,2175039.98
24,Medium,Cotton,Kharif,Central,Sandy,1393.51,27.03,1.34,2.429232708336354,3.26,5103.41,9203.06,2614.98,13546.2,4717.71,35185.36,55000,179300.0,144114.64
25,Small,Cotton,Zaid,Central,Silt,1306.3,20.15,11.32,2.0068693534060227,22.72,45397.26,101672.42,22134.68,118865.81,68930.34,357000.51,55000,1249600.0,892599.49
26,Small,Potato,Rabi,North,Clay,2314.65,37.74,10.15,19.70166363639701,199.97,24296.97,51969.52,24892.4,67575.03,43933.16,212667.08,12000,2399640.0,2186972.92
27,Small,Cotton,Rabi,West,Silt,2490.54,39.72,8.37,1.9861199650660462,16.62,48040.95,36599.08,29545.53,100161.49,39755.33,254102.38,55000,914100.0,659997.62
28,Large,Wheat,Kharif,Central,Loamy,1739.84,36.38,1.97,3.8898698638038285,7.66,5912.83,9807.93,4848.99,12096.0,10147.05,42812.8,21000,160860.0,118047.2
29,Large,Rice,Zaid,East,Sandy,2180.69,21.48,5.33,5.49054088963751,29.26,22815.32,21431.34,8660.85,59560.33,25623.38,138091.22,22000,643720.0,505628.78
30,Large,Potato,Kharif,East,Silt,1723.14,19.78,10.16,20.041699210656088,203.62,21761.84,86866.62,12266.99,116372.34,60665.68,297933.47,12000,2443440.0,2145506.53
31,Medium,Potato,Kharif,South,Loamy,2227.83,24.07,5.53,19.82786631859003,109.65,17600.21,39712.88,11329.32,72410.31,28122.86,169175.58000000002,12000,1315800.0,1146624.42
32,Large,Rice,Rabi,East,Clay,1253.2,32.93,5.52,5.053437170873286,27.89,26246.54,36595.95,8124.58,76554.68,20938.28,168460.03,22000,613580.0,445119.97
33,Medium,Potato,Rabi,Central,Loamy,1637.58,12.26,3.61,20.157045316988174,72.77,13824.33,28300.15,12661.25,42245.45,27961.37,124992.54999999999,12000,873240.0,748247.45
34,Medium,Cotton,Rabi,East,Clay,2159.37,39.86,1.09,2.785598869543273,3.04,5363.53,6643.62,4343.58,12216.06,8633.09,37199.880000000005,55000,167200.0,130000.12
35,Large,Sugarcane,Rabi,West,Sandy,2319.79,36.74,6.4,70.97762665134039,454.26,16778.55,26525.42,22692.54,75349.2,15596.25,156941.96000000002,3500,1589910.0,1432968.04
36,Medium,Maize,Rabi,South,Loamy,354.3,12.67,9.41,4.307894282866167,40.54,56010.92,36939.09,20269.73,96679.5,56921.35,266820.58999999997,18000,729720.0,462899.41
37,Large,Cotton,Zaid,West,Loamy,528.7,22.7,2.18,1.8231577806817247,3.97,8246.73,13375.97,2710.07,24348.12,15958.14,64639.03,55000,218350.0,153710.97
38,Large,Sugarcane,Kharif,Central,Clay,2348.58,31.26,10.78,69.85738420804029,753.06,44792.58,84437.44,33722.2,151562.89,83092.69,397607.8,3500,2635710.0,2238102.2
39,Small,Sugarcane,Zaid,Central,Silt,1550.72,18.76,6.89,70.6802914013664,486.99,20878.98,29833.26,20699.5,82291.12,47363.98,201066.84,3500,1704465.0,1503398.16
40,Large,Potato,Kharif,East,Clay,2478.42,16.0,9.84,19.89308523581097,195.75,33028.84,71138.11,11824.54,78838.05,72372.08,267201.62,12000,2349000.0,2081798.38
41,Small,Wheat,Rabi,North,Silt,2043.79,29.62,8.17,4.201628861323697,34.33,37731.94,36755.33,27502.99,99265.0,33811.79,235067.05000000002,21000,720930.0,485862.95
42,Large,Wheat,Zaid,North,Clay,2099.91,37.3,2.05,3.132017650443067,6.42,6902.16,11473.73,7120.88,12107.36,14320.33,51924.46000000001,21000,134820.0,82895.54
43,Large,Potato,Kharif,Central,Sandy,1149.47,38.76,10.93,20.4043377388468,223.02,53274.92,36800.33,34466.16,104171.32,61943.34,290656.07,12000,2676240.0,2385583.93
44,Small,Potato,Rabi,Central,Silt,866.59,12.29,8.76,20.051273298465645,175.65,27536.5,52730.46,27883.28,78230.96,39890.19,226271.39,12000,2107800.0,1881528.61
45,Small,Rice,Rabi,South,Loamy,1616.17,36.48,0.91,4.129289822290271,3.76,4606.27,3654.28,2793.08,7592.6,6233.93,24880.160000000003,22000,82720.0,57839.84
46,Large,Rice,Zaid,Central,Silt,2233.87,27.7,7.17,5.158383343941271,36.99,33697.93,57831.35,16551.63,80540.34,23830.7,212451.95,22000,813780.0,601328.05
47,Medium,Maize,Zaid,Central,Clay,1896.54,18.66,6.02,5.6246121313228485,33.86,17147.38,52640.53,17150.5,40282.33,46274.47,173495.21000000002,18000,609480.0,435984.79
48,Small,Maize,Zaid,South,Clay,1338.79,29.27,10.38,5.263737873404738,54.64,22837.4,36363.28,29587.04,149678.62,49540.69,288007.03,18000,983520.0,695512.97
49,Medium,Maize,Rabi,West,Silt,1957.04,39.88,1.91,5.128115948986424,9.79,10926.82,11847.39,4991.33,14468.01,13548.7,55782.25,18000,176220.0,120437.75
50,Medium,Maize,Kharif,West,Loamy,1818.87,19.73,7.29,4.4294576730895185,32.29,21438.15,52668.34,20497.49,87013.06,25322.49,206939.52999999997,18000,581220.0,374280.47
51,Medium,Sugarcane,Kharif,South,Sandy,2308.71,19.75,4.07,69.79242685057488,284.06,17536.59,13805.54,8947.23,38163.84,29962.6,108415.79999999999,3500,994210.0,885794.2
52,Small,Sugarcane,Zaid,South,Loamy,879.83,31.57,3.32,69.29180231208676,230.05,10595.49,20989.14,10075.81,23393.77,17494.33,82548.54,3500,805175.0,722626.46
53,Medium,Rice,Kharif,West,Silt,562.49,13.21,0.76,4.526086638462339,3.44,3520.92,6551.34,1277.57,7021.51,2764.28,21135.62,22000,75680.0,54544.38
54,Small,Wheat,Rabi,West,Clay,1334.11,34.98,4.32,3.9839863049948523,17.21,20757.63,26607.5,15378.61,37256.51,24228.64,124228.89,21000,361410.0,237181.11
55,Medium,Potato,Kharif,West,Loamy,1094.38,30.27,5.06,20.29039375753996,102.67,11623.96,34033.66,17977.14,64784.06,12365.52,140784.34,12000,1232040.0,1091255.66
56,Large,Wheat,Rabi,West,Clay,2444.69,35.55,5.65,3.8344491659002324,21.66,12430.42,28054.8,14088.76,65460.27,23501.62,143535.87,21000,454860.0,311324.13
57,Large,Cotton,Zaid,East,Clay,316.51,18.46,8.95,3.2975558213043668,29.51,53368.49,59883.55,22283.52,119317.48,46337.23,301190.26999999996,55000,1623050.0,1321859.73
58,Small,Sugarcane,Kharif,South,Loamy,2353.44,35.72,5.14,69.29684408372341,356.19,26071.0,42806.07,11293.32,27839.06,26515.95,134525.40000000002,3500,1246665.0,1112139.6
59,Large,Maize,Rabi,North,Silt,2401.17,24.56,2.75,5.210683807935849,14.33,8377.43,13684.05,3127.37,36651.16,15632.42,77472.43000000001,18000,257940.0,180467.57
60,Large,Maize,Zaid,East,Loamy,412.11,15.72,5.08,5.827288998815243,29.6,20144.84,38776.99,7263.36,46314.93,11477.48,123977.59999999999,18000,532800.0,408822.4
61,Medium,Cotton,Zaid,North,Sandy,2257.05,37.24,1.3,2.814484793482673,3.66,7581.5,8351.29,4086.5,9861.01,8578.53,38458.83,55000,201300.0,162841.17
62,Small,Wheat,Zaid,North,Clay,1335.71,31.74,11.68,3.5199098628258945,41.11,48769.2,53067.32,16681.64,82216.78,29895.55,230630.49,21000,863310.0,632679.51
63,Medium,Maize,Zaid,Central,Clay,1985.53,16.71,1.26,5.563966926951546,7.01,4633.23,6738.81,2817.53,10667.65,9633.24,34490.46,18000,126180.0,91689.54
64,Medium,Wheat,Kharif,South,Silt,474.36,18.9,2.82,3.557693533314571,10.03,6063.88,14516.22,5816.75,23863.4,14911.01,65171.26,21000,210630.0,145458.74
65,Medium,Potato,Rabi,East,Clay,2401.45,19.53,5.42,20.034488119818022,108.59,23518.07,31493.45,8989.5,34825.09,42721.82,141547.93,12000,1303080.0,1161532.07
66,Medium,Cotton,Kharif,South,Clay,1636.61,38.97,11.23,2.8329853341266666,31.81,62063.92,41288.3,29046.63,123466.06,34708.19,290573.1,55000,1749550.0,1458976.9
67,Medium,Wheat,Rabi,West,Clay,2277.13,36.81,2.56,3.0690500799077944,7.86,10678.4,9997.34,5348.38,14915.11,17039.02,57978.25,21000,165060.0,107081.75
68,Medium,Potato,Zaid,South,Loamy,1780.52,21.7,5.1,20.512918316046225,104.62,26148.32,26880.14,16720.85,51008.66,28037.63,148795.6,12000,1255440.0,1106644.4
69,Medium,Wheat,Kharif,North,Clay,1480.98,25.07,11.88,4.223445498548772,50.17,65861.65,75695.66,34652.97,105929.63,83332.66,365472.57000000007,21000,1053570.0,688097.43
70,Small,Wheat,Zaid,West,Loamy,679.49,19.99,7.42,2.9053642386156073,21.56,26929.2,49770.97,18116.77,97587.52,17135.86,209540.32,21000,452760.0,243219.68
71,Large,Maize,Rabi,South,Silt,691.5,32.79,7.57,3.5063270442650727,26.54,27602.72,64059.67,20639.1,54522.23,31728.93,198552.65,18000,477720.0,279167.35
72,Medium,Rice,Zaid,South,Sandy,1339.65,16.51,11.7,3.4558281532116126,40.43,66521.0,75038.0,26834.39,124027.39,69681.52,362102.30000000005,22000,889460.0,527357.7
73,Medium,Sugarcane,Kharif,North,Clay,2214.97,21.48,6.32,70.02684848320573,442.57,21250.8,46633.65,21173.04,39066.48,23552.24,151676.21,3500,1548995.0,1397318.79
74,Medium,Wheat,Kharif,West,Sandy,553.48,28.97,0.53,4.721442783056927,2.5,2462.39,3121.87,2057.06,6449.6,3950.38,18041.3,21000,52500.0,34458.7
75,Medium,Wheat,Rabi,North,Loamy,2496.45,36.57,0.86,4.224739942918517,3.63,3852.45,5280.55,2838.44,7094.67,5704.94,24771.05,21000,76230.0,51458.95
76,Medium,Wheat,Rabi,South,Silt,2227.01,29.8,8.34,4.372399059247361,36.47,32865.33,54539.79,29899.87,121684.6,35285.05,274274.64,21000,765870.0,491595.36
77,Medium,Rice,Kharif,East,Silt,1163.63,38.31,2.93,4.9444227792606394,14.49,13384.01,17969.15,9818.4,41222.93,8496.4,90890.89,22000,318780.0,227889.11
78,Large,Potato,Kharif,East,Loamy,856.86,38.06,6.0,20.207813467648887,121.25,28875.38,29139.55,13337.01,58719.6,36134.04,166205.58000000002,12000,1455000.0,1288794.42
79,Large,Cotton,Kharif,Central,Sandy,2328.39,32.11,6.84,1.4065862064792911,9.62,38982.83,60629.17,24367.32,88188.68,43207.48,255375.48,55000,529100.0,273724.52
80,Medium,Maize,Kharif,East,Clay,571.07,19.8,8.17,5.802531501649014,47.41,42508.95,54840.42,9100.15,46914.03,29742.09,183105.63999999998,18000,853380.0,670274.36
81,Large,Rice,Rabi,West,Loamy,1064.04,31.13,1.46,4.214022589974134,6.15,5010.91,7412.16,5338.73,18721.83,3698.3,40181.93000000001,22000,135300.0,95118.07
82,Small,Potato,Kharif,Central,Loamy,484.61,17.4,9.24,19.447367166264243,179.69,34451.95,71995.4,22268.8,87558.54,25861.92,242136.61,12000,2156280.0,1914143.39
83,Medium,Wheat,Rabi,West,Loamy,2397.62,21.33,11.08,3.614337093305277,40.05,62210.03,44127.3,22049.0,65884.69,80519.09,274790.11,21000,841050.0,566259.89
84,Small,Potato,Kharif,East,Loamy,1658.77,33.22,3.44,20.422588431125938,70.25,10607.89,30805.69,8859.67,26775.03,14684.62,91732.9,12000,843000.0,751267.1
85,Small,Rice,Kharif,East,Loamy,1039.6,35.82,4.88,4.516007752735495,22.04,16101.03,37736.07,14951.71,39008.66,33166.72,140964.19,22000,484880.0,343915.81
86,Medium,Rice,Zaid,South,Silt,906.06,23.67,9.05,4.571957345511687,41.38,43046.2,32443.05,25755.23,110113.64,39778.58,251136.7,22000,910360.0,659223.3
87,Large,Rice,Zaid,West,Loamy,1277.01,26.66,3.36,4.485462543603209,15.07,8208.88,27181.14,9590.45,43227.05,22140.93,110348.45000000001,22000,331540.0,221191.55
88,Small,Cotton,Kharif,North,Silt,501.03,22.81,6.74,3.1794833164290304,21.43,34702.88,30676.48,8761.13,69646.32,47456.05,191242.86,55000,1178650.0,987407.14
89,Medium,Sugarcane,Rabi,South,Sandy,2256.57,25.42,8.09,69.13509361232458,559.3,46869.21,55230.1,25782.7,67208.62,32117.31,227207.94,3500,1957550.0,1730342.06
90,Small,Maize,Kharif,West,Clay,1424.07,26.35,10.61,5.200986504064626,55.18,48515.63,42342.81,33263.07,96280.42,84602.91,305004.83999999997,18000,993240.0,688235.16
91,Small,Cotton,Zaid,Central,Silt,1895.22,31.37,4.47,2.819705238014406,12.6,10231.6,32472.44,6022.3,50285.57,13658.59,112670.5,55000,693000.0,580329.5
92,Small,Cotton,Kharif,West,Clay,814.24,33.01,6.17,2.6141937938531075,16.13,18226.76,46548.31,6976.84,69813.33,33173.07,174738.31,55000,887150.0,712411.69
93,Small,Sugarcane,Zaid,Central,Clay,1408.25,39.3,2.62,70.70062086149944,185.24,6261.9,21246.82,10344.81,17844.63,15701.28,71399.44,3500,648340.0,576940.56
94,Large,Cotton,Kharif,Central,Clay,764.39,24.25,4.04,2.6042314662689434,10.52,13075.02,23944.33,13084.45,40423.45,11810.27,102337.52,55000,578600.0,476262.48
95,Small,Rice,Kharif,East,Silt,2095.41,14.33,1.59,4.3211356249694335,6.87,9155.54,10050.01,4479.55,16970.98,3499.8,44155.880000000005,22000,151140.0,106984.12
96,Small,Rice,Rabi,North,Silt,2005.61,31.27,2.77,4.172483198611968,11.56,9520.01,11883.37,5398.03,34613.06,7517.37,68931.84,22000,254320.0,185388.16
97,Small,Potato,Zaid,West,Silt,626.05,25.95,4.48,19.19607339145593,86.0,12263.82,27301.93,8184.84,43326.87,12865.36,103942.81999999999,12000,1032000.0,928057.18
98,Large,Wheat,Zaid,North,Sandy,463.92,35.55,5.38,3.4781897056808626,18.71,24996.95,33307.25,7564.92,77291.45,31338.23,174498.80000000002,21000,392910.0,218411.2
99,Small,Cotton,Zaid,Central,Silt,2113.23,16.1,8.63,1.8872904525709313,16.29,48315.84,67792.04,24385.18,100591.84,67536.31,308621.20999999996,55000,895950.0,587328.79
100,Small,Wheat,Rabi,East,Sandy,541.23,30.06,5.77,3.7433335892539623,21.6,12336.13,41932.87,15740.28,70517.59,28686.72,169213.59,21000,453600.0,284386.41
101,Large,Maize,Kharif,North,Silt,1506.66,24.86,1.06,4.248258676681648,4.5,4954.1,7621.12,4034.9,11516.0,7170.21,35296.33,18000,81000.0,45703.67
102,Large,Rice,Rabi,South,Silt,1475.87,23.74,9.19,4.541777828707936,41.74,29006.95,29205.22,26498.87,123646.81,24184.11,232541.95999999996,22000,918280.0,685738.04
103,Large,Potato,Kharif,Central,Clay,746.48,27.82,6.63,19.790145944053666,131.21,23180.35,41623.84,15609.51,56990.04,27280.44,164684.18,12000,1574520.0,1409835.82
104,Small,Maize,Rabi,South,Loamy,1600.98,31.16,11.3,5.799896761429194,65.54,33323.5,101203.27,41718.23,60119.97,33245.19,269610.16000000003,18000,1179720.0,910109.84
105,Large,Potato,Rabi,North,Clay,1406.06,35.83,7.81,20.28582277176232,158.43,43926.29,58678.83,22197.33,47994.47,47799.44,220596.36,12000,1901160.0,1680563.64
106,Large,Sugarcane,Zaid,North,Silt,1420.22,18.58,6.64,70.59021796026028,468.72,36812.75,53179.18,20867.94,61644.25,51481.04,223985.16,3500,1640520.0,1416534.84
107,Small,Rice,Rabi,North,Loamy,1091.34,20.21,3.89,4.529808059544075,17.62,17190.7,23190.11,11203.21,34712.72,15428.26,101724.99999999999,22000,387640.0,285915.0
108,Large,Maize,Kharif,West,Loamy,2144.54,27.36,3.22,5.6662867586519825,18.25,6647.11,25734.15,4856.78,30495.6,12385.99,80119.63,18000,328500.0,248380.37
109,Small,Sugarcane,Rabi,Central,Sandy,485.62,21.7,3.15,70.02673665430707,220.58,18226.87,24890.47,4320.38,32726.66,14561.69,94726.06999999999,3500,772030.0,677303.93
110,Medium,Maize,Rabi,Central,Loamy,1264.97,27.91,5.18,4.773024156947794,24.72,20044.78,32012.82,14885.89,47026.29,13622.83,127592.61,18000,444960.0,317367.39
111,Large,Potato,Kharif,Central,Sandy,871.6,17.6,2.47,19.752857334421655,48.79,9770.74,15833.59,9242.79,13492.3,16211.59,64551.009999999995,12000,585480.0,520928.99
112,Medium,Sugarcane,Zaid,West,Clay,2166.55,20.61,10.21,70.27996349230699,717.56,51987.32,33817.88,39726.81,132701.12,76450.9,334684.03,3500,2511460.0,2176775.97
113,Small,Sugarcane,Kharif,North,Sandy,795.18,21.1,9.76,70.24200415860044,685.56,43479.12,79236.55,38905.85,140028.7,24790.69,326440.91000000003,3500,2399460.0,2073019.09
114,Large,Rice,Kharif,North,Silt,1987.45,39.78,8.88,4.621666476124536,41.04,22072.28,33775.59,31364.1,95817.69,36925.06,219954.72,22000,902880.0,682925.28
115,Small,Wheat,Kharif,South,Loamy,1645.33,35.92,1.06,3.8401288779249616,4.07,2566.73,5093.03,2217.16,10260.48,7664.2,27801.600000000002,21000,85470.0,57668.4
116,Medium,Potato,Rabi,West,Silt,2224.54,35.46,1.33,20.115693843019937,26.75,4001.36,9931.05,3777.94,8166.55,3890.46,29767.359999999997,12000,321000.0,291232.64
117,Small,Potato,Rabi,East,Loamy,1606.35,26.38,7.82,19.57751052549451,153.1,17847.74,37582.91,22108.44,111295.14,47894.91,236729.14,12000,1837200.0,1600470.86
118,Large,Sugarcane,Kharif,West,Loamy,1524.27,25.07,9.11,70.07662948379944,638.4,48573.77,54962.03,23801.3,78497.74,28836.75,234671.59,3500,2234400.0,1999728.41
119,Large,Sugarcane,Kharif,South,Clay,2062.49,13.96,0.81,69.83857589427339,56.57,1747.84,3179.05,2613.22,10330.77,5160.67,23031.550000000003,3500,197995.0,174963.45
120,Medium,Rice,Zaid,South,Sandy,1537.47,17.53,3.84,4.414852751195993,16.95,22210.24,18236.94,5798.23,26625.65,22750.51,95621.56999999999,22000,372900.0,277278.43
121,Small,Wheat,Rabi,South,Clay,2157.99,37.07,2.07,2.8398766432534104,5.88,5060.06,15329.93,3241.76,29165.61,15983.15,68780.51,21000,123480.0,54699.49
122,Large,Potato,Rabi,North,Sandy,408.5,26.72,3.16,20.19714166089136,63.82,17160.5,17410.47,12115.48,38299.36,16860.65,101846.45999999999,12000,765840.0,663993.54
123,Medium,Cotton,Rabi,East,Clay,1389.33,39.65,6.46,1.821886058560502,11.77,19050.36,41207.24,22736.47,52543.54,30602.82,166140.43000000002,55000,647350.0,481209.57
124,Large,Cotton,Rabi,South,Clay,2087.92,28.57,1.76,1.839647747301167,3.24,8171.57,9050.38,6081.79,22149.47,8982.44,54435.65,55000,178200.0,123764.35
125,Large,Wheat,Kharif,Central,Loamy,2166.4,22.57,3.14,4.0013663107418,12.56,10576.99,26953.14,7690.87,25254.53,17580.14,88055.67,21000,263760.0,175704.33
126,Small,Maize,Kharif,North,Clay,2134.92,19.68,7.0,4.371308187653937,30.6,15883.83,56961.16,18923.13,50031.43,54486.43,196285.98,18000,550800.0,354514.02
127,Large,Rice,Zaid,East,Clay,1629.64,37.71,6.34,4.888398646667378,30.99,31203.61,23308.83,18225.56,82907.44,14922.5,170567.94,22000,681780.0,511212.06
128,Small,Wheat,Rabi,Central,Sandy,2486.74,22.38,10.36,3.4123201381416814,35.35,54198.07,91852.74,19496.73,148142.35,57097.01,370786.9,21000,742350.0,371563.1
129,Large,Cotton,Rabi,East,Clay,699.05,16.09,2.23,2.783737988504052,6.21,7124.76,17519.52,4201.63,12306.81,11261.55,52414.270000000004,55000,341550.0,289135.73
130,Medium,Sugarcane,Kharif,East,Loamy,683.81,19.79,4.75,69.32939842139616,329.31,24406.98,18763.6,7313.23,27884.15,37098.01,115465.97,3500,1152585.0,1037119.03
131,Large,Cotton,Zaid,Central,Clay,372.21,30.08,11.13,2.2402421960154397,24.93,42627.49,36169.75,29834.86,154286.33,74648.14,337566.57,55000,1371150.0,1033583.43
132,Small,Sugarcane,Kharif,West,Silt,2476.54,15.72,9.65,70.37986379213724,679.17,47458.81,80656.03,14383.79,139658.9,69887.96,352045.49000000005,3500,2377095.0,2025049.51
133,Small,Rice,Rabi,East,Silt,1065.65,14.56,7.37,4.379025180546221,32.27,33763.27,55618.02,11817.33,88902.47,18098.88,208199.97,22000,709940.0,501740.03
134,Medium,Sugarcane,Rabi,West,Sandy,1976.52,24.81,9.34,69.53322190289315,649.44,53420.02,43462.46,34628.98,86911.87,66637.08,285060.41,3500,2273040.0,1987979.59
135,Large,Wheat,Zaid,East,Sandy,431.36,14.34,5.66,4.02503442632679,22.78,18745.83,49310.04,14590.82,57581.67,36968.79,177197.15,21000,478380.0,301182.85
136,Large,Sugarcane,Kharif,Central,Silt,957.11,23.0,10.97,68.72911828976163,753.96,26768.71,92552.38,31343.58,95547.75,54885.77,301098.19,3500,2638860.0,2337761.81
137,Medium,Maize,Rabi,East,Clay,1672.46,21.04,7.4,5.765599308987912,42.67,38133.05,31667.27,10381.36,106844.73,28946.79,215973.2,18000,768060.0,552086.8
138,Large,Wheat,Rabi,South,Clay,1454.52,22.96,8.5,3.238669901789742,27.53,44635.0,45857.9,13754.62,100427.16,35029.12,239703.8,21000,578130.0,338426.2
139,Large,Rice,Zaid,South,Sandy,757.05,25.66,8.0,5.250878409788495,42.01,16835.54,26272.98,10357.6,115840.11,47243.31,216549.54,22000,924220.0,707670.46
140,Small,Wheat,Rabi,East,Loamy,1315.5,17.19,8.24,4.162361220021598,34.3,20637.27,39959.9,14951.86,115689.44,21278.69,212517.16,21000,720300.0,507782.84
141,Large,Maize,Rabi,Central,Clay,539.32,24.39,7.87,5.04982432815336,39.74,41937.74,47029.97,28683.38,93290.32,27211.39,238152.8,18000,715320.0,477167.2
142,Large,Rice,Kharif,Central,Silt,1493.95,22.12,1.35,4.715456802468186,6.37,5943.27,4563.79,4949.03,9908.35,8062.4,33426.840000000004,22000,140140.0,106713.16
143,Medium,Cotton,Zaid,North,Loamy,513.27,34.27,7.44,1.589701678979286,11.83,28356.15,37353.7,22474.52,70628.44,28101.12,186913.93,55000,650650.0,463736.07
144,Medium,Maize,Zaid,Central,Loamy,1699.06,31.45,9.51,4.80602982326996,45.71,50467.85,37135.58,34493.29,111636.07,64086.41,297819.2,18000,822780.0,524960.8
145,Small,Rice,Zaid,West,Clay,641.79,36.43,0.5,4.251884750696711,2.13,1492.01,4270.6,786.41,4844.68,3208.64,14602.34,22000,46860.0,32257.66
146,Large,Sugarcane,Kharif,East,Loamy,1503.59,30.73,10.75,70.17719290328542,754.4,35469.77,85752.44,15522.77,101320.95,53985.6,292051.52999999997,3500,2640400.0,2348348.47
147,Large,Wheat,Zaid,South,Sandy,584.07,15.39,11.45,3.7807977156940296,43.29,58327.17,86997.8,37745.04,105692.48,77127.47,365889.95999999996,21000,909090.0,543200.04
148,Large,Rice,Rabi,Central,Loamy,1181.56,26.2,1.97,4.348902439269074,8.57,8597.34,15064.63,7818.83,13370.25,5837.55,50688.600000000006,22000,188540.0,137851.4
149,Small,Wheat,Zaid,South,Sandy,1074.03,32.79,6.65,3.565433393476037,23.71,18843.94,20523.04,20967.02,58884.66,45787.02,165005.68,21000,497910.0,332904.32
